ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.113,192.168.4.133,8093,51063,1024,0x0002
192.168.4.20,192.168.4.133,2022,51063,1024,0x0002
192.168.4.29,192.168.4.133,8500,51063,1024,0x0002
192.168.4.76,192.168.4.133,10626,51063,1024,0x0002
192.168.4.77,192.168.4.133,1045,51063,1024,0x0002
192.168.4.78,192.168.4.133,6839,51063,1024,0x0002
192.168.4.113,192.168.4.133,1783,51063,1024,0x0002
192.168.4.20,192.168.4.133,119,51063,1024,0x0002
192.168.4.29,192.168.4.133,3372,51063,1024,0x0002
192.168.4.76,192.168.4.133,987,51063,1024,0x0002
192.168.4.77,192.168.4.133,306,51063,1024,0x0002
192.168.4.78,192.168.4.133,55055,51063,1024,0x0002
192.168.4.113,192.168.4.133,2007,51063,1024,0x0002
192.168.4.20,192.168.4.133,1108,51063,1024,0x0002
192.168.4.29,192.168.4.133,2033,51063,1024,0x0002
192.168.4.76,192.168.4.133,9011,51063,1024,0x0002
192.168.4.77,192.168.4.133,81,51063,1024,0x0002
192.168.4.78,192.168.4.133,10626,51063,1024,0x0002
192.168.4.113,192.168.4.133,5633,51063,1024,0x0002
192.168.4.20,192.168.4.133,3517,51063,1024,0x0002
192.168.4.29,192.168.4.133,1311,51063,1024,0x0002
192.168.4.76,192.168.4.133,1199,51063,1024,0x0002
192.168.4.77,192.168.4.133,2909,51063,1024,0x0002
192.168.4.78,192.168.4.133,987,51063,1024,0x0002
192.168.4.113,192.168.4.133,1058,51063,1024,0x0002
192.168.4.20,192.168.4.133,2047,51063,1024,0x0002
192.168.4.133,192.168.4.76,51063,1641,0,0x0014
192.168.4.133,192.168.4.78,51063,50500,0,0x0014
192.168.4.133,192.168.4.78,51063,1035,0,0x0014
192.168.4.133,192.168.4.78,51063,1186,0,0x0014
192.168.4.133,192.168.4.78,51063,8649,0,0x0014
192.168.4.133,192.168.4.78,51063,20031,0,0x0014
192.168.4.133,192.168.4.78,51063,1042,0,0x0014
192.168.4.133,192.168.4.78,51063,2103,0,0x0014
192.168.4.133,192.168.4.78,51063,8994,0,0x0014
192.168.4.77,192.168.4.133,56738,51063,1024,0x0002
192.168.4.78,192.168.4.133,9011,51063,1024,0x0002
192.168.4.113,192.168.4.133,7019,51063,1024,0x0002
192.168.4.20,192.168.4.133,1102,51063,1024,0x0002
192.168.4.29,192.168.4.133,90,51063,1024,0x0002
192.168.4.76,192.168.4.133,3031,51063,1024,0x0002
192.168.4.77,192.168.4.133,32775,51063,1024,0x0002
192.168.4.78,192.168.4.133,1199,51063,1024,0x0002
192.168.4.113,192.168.4.133,1050,51063,1024,0x0002
192.168.4.133,192.168.4.113,51063,90,0,0x0014
192.168.4.133,192.168.4.113,51063,3071,0,0x0014
192.168.4.133,192.168.4.113,51063,720,0,0x0014
192.168.4.133,192.168.4.113,51063,9,0,0x0014
192.168.4.133,192.168.4.113,51063,2033,0,0x0014
192.168.4.133,192.168.4.113,51063,1311,0,0x0014
192.168.4.133,192.168.4.113,51063,3372,0,0x0014
192.168.4.133,192.168.4.113,51063,6502,0,0x0014
192.168.4.133,192.168.4.20,51063,161,0,0x0014
